ID	Gal	U	B	V	R	I	J	H	K	3.6	4.5	5.8	8.0	F_U_Jy	F_B_Jy	F_V_Jy	F_R_Jy	F_I_Jy	F_J_Jy	F_H_Jy	F_K_Jy	F_3.6_Jy	F_4.5_Jy	F_5.8_Jy	F_8.0_Jy	lam_F_0.36_um	F_0.44_um	lam_F_0.44_um	F_0.55_um	lam_F_0.55_um	F_0.71_um	lam_F_0.71_um	F_0.97_um	lam_F_0.97_um	F_1.24_um	lam_F_1.24_um	F_1.66_um	lam_F_1.66_um	F_2.16_um	lam_F_2.16_um	F_3.55_um	lam_F_3.55_um	F_4.44_um	lam_F_4.44_um	F_5.73_um	lam_F_5.73_um	F_7.87_um	lam_F_7.87_um
J004007.14+410321.8	M31	18.47	18.62	18.08	17.76	17.3	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.46082182688e-05	0.000147214318105	0.000221618840003	0.000231470166749	0.000316796678522	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.2173515224e-13	2.281213607e-12	1.00373398708e-12	2.19787279342e-12	1.20883003638e-12	1.37752529309e-12	9.78042958096e-13	1.01008612559e-12	9.7978354182e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004009.13+403142.9	M31	19.08	18.47	17.63	17.18	16.77	16.114	15.764	15.368	99.99	99.99	99.99	99.99	4.25389404754e-05	0.000169024652468	0.000335433688152	0.000394907175071	0.000516155571469	0.000571331694422	0.00050664056185	0.000475040300662	99.99	99.99	99.99	99.99	3.54491170628e-13	2.61918366428e-12	1.15244081229e-12	3.32661508911e-12	1.82963829901e-12	2.35017164295e-12	1.6686218665e-12	1.64572931704e-12	1.59635743753e-12	1.12376540069e-12	1.38785026985e-12	5.50248886612e-13	9.14513649549e-13	3.05735891483e-13	6.60083789711e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004009.70+403719.0	M31	18.37	18.47	18.27	18.12	17.92	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.18062845848e-05	0.000169024652468	0.000186040148441	0.000166147964292	0.000178970157195	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.81719038207e-13	2.61918366428e-12	1.15244081229e-12	1.84502626553e-12	1.01476444604e-12	9.88779791464e-13	7.02033651939e-13	5.70635000089e-13	5.53515950086e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004017.72+400436.6	M31	18.71	18.59	18.33	18.14	17.94	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.98117719345e-05	0.00015133871833	0.000176038101961	0.000163115422181	0.000175703583688	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.98431432788e-13	2.3451247675e-12	1.0318548977e-12	1.74583241614e-12	9.60207828878e-13	9.70732526369e-13	6.89220093722e-13	5.60219737553e-13	5.43413145426e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004020.37+403428.8	M31	18.71	18.67	18.43	18.24	18.01	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.98117719345e-05	0.000140588582347	0.000160548657128	0.000148763033095	0.000164733004546	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.98431432788e-13	2.17854208182e-12	9.58558515999e-13	1.59221808722e-12	8.75719947971e-13	8.85318586164e-13	6.28576196177e-13	5.25240741459e-13	5.09483519216e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004020.37+410723.2	M31	19.04	19.0	18.32	17.93	17.38	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.4135359522e-05	0.000103740909621	0.000177666962464	0.000197922434613	0.00029429346579	99.99	99.99	99.99	99.99	99.99	99.99	99.99	3.67794662683e-13	1.60755541769e-12	7.07324383782e-13	1.7619864046e-12	9.69092522529e-13	1.17787602428e-12	8.36291977239e-13	9.38336058423e-13	9.10185976671e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004021.21+403117.1	M31	16.88	16.93	16.65	16.48	16.27	15.971	15.654	15.975	99.99	99.99	99.99	99.99	0.000322690863101	0.000698152104769	0.000827192670015	0.000752480109339	0.000818051451472	0.000651760921087	0.000560660495671	0.000271600431212	99.99	99.99	99.99	99.99	2.68909052584e-12	1.08184726979e-11	4.76012798706e-12	8.20356366957e-12	4.51196001827e-12	4.47815974612e-12	3.17949341974e-12	2.60830519122e-12	2.53005603548e-12	1.28196348949e-12	1.58322490952e-12	6.08918505032e-13	1.01202255536e-12	1.74802011215e-13	3.77397542212e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004021.64+403256.5	M31	18.58	18.34	17.83	17.52	17.21	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.74196771739e-05	0.000190524158293	0.000279001589412	0.000288732070042	0.000344176029023	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.61830643116e-13	2.95233716364e-12	1.299028352e-12	2.76695791152e-12	1.52182685134e-12	1.71830234106e-12	1.21999466215e-12	1.0973834489e-12	1.06446194543e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004025.48+405041.0	M31	17.92	18.12	17.99	17.85	17.71	99.99	99.99	99.99	14.66	14.37	13.5	12.51	0.000123818822226	0.000233318970597	0.000240772386455	0.000213056615858	0.000217160393306	99.99	99.99	99.99	0.000379544749103	0.000320674519686	0.000464192960865	0.000625214957227	1.03182351855e-12	3.61547991628e-12	1.59081116316e-12	2.38782532022e-12	1.31330392612e-12	1.26794256611e-12	9.00239221935e-13	6.92402146793e-13	6.71630082389e-13	99.99	99.99	99.99	99.99	99.99	99.99	9.03498708438e-14	3.20742041495e-13	4.88219832728e-14	2.16720783748e-13	4.23993294495e-14	2.42990557075e-13	3.02677712506e-14	2.38267895285e-13
J004026.68+403604.4	M31	18.37	18.68	18.44	18.25	18.01	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.18062845848e-05	0.000139299658476	0.000159076738192	0.00014739916541	0.000164733004546	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.81719038207e-13	2.15856908796e-12	9.49770398701e-13	1.57762054405e-12	8.6769129923e-13	8.77201936579e-13	6.22813374971e-13	5.25240741459e-13	5.09483519216e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004029.38+403604.2	M31	18.53	18.44	18.13	17.93	17.67	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.05970686692e-05	0.000173760097523	0.000211644349125	0.000197922434613	0.000225310078845	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.88308905577e-13	2.69256349467e-12	1.18472793766e-12	2.09895222273e-12	1.1544237225e-12	1.17787602428e-12	8.36291977239e-13	7.18386902471e-13	6.96835295397e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004030.10+402943.1	M31	18.09	18.42	18.27	18.14	18.0	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000105873353314	0.000176990538924	0.000186040148441	0.000163115422181	0.000166257260271	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.82277944284e-13	2.74262198746e-12	1.20675367448e-12	1.84502626553e-12	1.01476444604e-12	9.70732526369e-13	6.89220093722e-13	5.30100734203e-13	5.14197712177e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004030.62+404523.8	M31	18.76	18.62	18.33	18.15	17.93	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.71197987543e-05	0.000147214318105	0.000176038101961	0.000161619971002	0.000177329348931	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.75998322952e-13	2.281213607e-12	1.00373398708e-12	1.74583241614e-12	9.60207828878e-13	9.61832797073e-13	6.82901285922e-13	5.65403386962e-13	5.48441285353e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004032.90+404352.8	M31	19.59	19.04	18.12	17.66	17.2	16.411	15.426	15.263	99.99	99.99	99.99	99.99	2.65941839648e-05	9.99884996302e-05	0.000213602670177	0.000253801990898	0.00034736065061	0.00043459859409	0.000691671620233	0.000523275564796	99.99	99.99	99.99	99.99	2.21618199707e-13	1.54940856865e-12	6.81739770206e-13	2.11837358853e-12	1.16510547369e-12	1.51042644851e-12	1.07240277844e-12	1.10753741293e-12	1.07431129055e-12	8.54821932678e-13	1.05570508686e-12	7.512062152e-13	1.24850472966e-12	3.36780102806e-13	7.27108241958e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004034.00+403500.1	M31	18.32	18.14	17.7	17.43	17.12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.56616959987e-05	0.000229060419452	0.000314489881854	0.000313685919254	0.000373921656965	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.13847466656e-13	3.54948997084e-12	1.56177558717e-12	3.11890791921e-12	1.71539935557e-12	1.86680769244e-12	1.32543346164e-12	1.19222549782e-12	1.15645873288e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004034.00+405358.3	M31	18.69	18.48	18.02	17.75	17.46	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.09237557968e-05	0.00016747502514	0.000234210670487	0.000233611933832	0.000273388737568	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.07697964973e-13	2.59517084411e-12	1.14187517141e-12	2.32275045111e-12	1.27751274811e-12	1.3902713777e-12	9.87092678165e-13	8.71682657779e-13	8.45532178046e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004034.82+401825.5	M31	16.82	16.91	16.3	15.92	99.99	14.989	14.619	14.605	99.99	99.99	99.99	99.99	0.000341025354189	0.000711131721469	0.00114184374548	0.00126036119849	99.99	0.00161023149565	0.00145445388703	0.000959247012123	99.99	99.99	99.99	99.99	2.84187795157e-12	1.10196031219e-11	4.84862537365e-12	1.13240702031e-11	6.22823861173e-12	7.50066176446e-12	5.32546985277e-12	99.99	99.99	3.16720122405e-12	3.9114935117e-12	1.57964381897e-12	2.62536802712e-12	6.17371284068e-13	1.3329046023e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004035.37+405701.0	M31	18.08	18.31	18.11	17.95	17.85	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000106852987391	0.000195861939912	0.000215579111349	0.000194309943059	0.00019088887548	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.90441561591e-13	3.03505072178e-12	1.33542231759e-12	2.13797465801e-12	1.17588606191e-12	1.15637736397e-12	8.21027928418e-13	6.08637077733e-13	5.90377965401e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004038.10+403827.2	M31	19.06	18.55	17.59	17.05	16.5	15.782	15.529	16.314	99.99	99.99	99.99	99.99	4.33297984252e-05	0.00015701822068	0.00034802198308	0.000445138363165	0.000661882074703	0.000775690222181	0.000629071422741	0.000198760671415	99.99	99.99	99.99	99.99	3.61081653543e-13	2.43313358492e-12	1.07057877737e-12	3.45145768344e-12	1.89830172589e-12	2.64910749751e-12	1.88086632323e-12	2.11036903402e-12	2.047057963e-12	1.52572287141e-12	1.88426774619e-12	6.83217799812e-13	1.13550798329e-12	1.27922348866e-13	2.76184351202e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004053.97+403256.2	M31	19.37	19.11	18.31	17.82	17.25	16.459	17.265	15.999	99.99	99.99	99.99	99.99	3.25676684896e-05	9.37454183828e-05	0.000179310894627	0.000219025673526	0.000331726846008	0.000415803668892	0.000127145196297	0.000265662622279	99.99	99.99	99.99	99.99	2.71397237413e-13	1.45266660717e-12	6.39173307155e-13	1.77828986407e-12	9.78059425238e-13	1.30346562305e-12	9.25460592362e-13	1.05769001809e-12	1.02595931755e-12	8.17853763658e-13	1.01004939812e-12	1.3808902794e-13	2.29503964436e-13	1.7098043796e-13	3.69146765557e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004101.24+410434.6	M31	18.4	18.04	17.12	16.62	16.0	15.211	14.83	14.876	99.99	99.99	99.99	99.99	7.95768362174e-05	0.000251159755528	0.000536545648951	0.000661446959576	0.00104901239441	0.0013124667719	0.0011975673764	0.000747361041434	99.99	99.99	99.99	99.99	6.63140301812e-13	3.89193836046e-12	1.7124528786e-12	5.32111387389e-12	2.92661263064e-12	3.9364032508e-12	2.79484630807e-12	3.3447095156e-12	3.24436823013e-12	2.58152096623e-12	3.18817839329e-12	1.3006461881e-12	2.16167396463e-12	4.8100149386e-13	1.03848222524e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
